name,lat,lng,open_time,close_time,photo_url,address,mobile_number,website_url
"Hunters Warehouse",-28.0103721,153.4116213,,,,"Gold Coast QLD 4217, Australia"
"Hunting Haven",-30.5162906,151.6493377,,,,"2a/225 Mann St, Armidale NSW 2350, Australia","+61 2 6771 2836",""
"In Season Hunting & Fishing",-38.1631218,145.9506717,,,,"Unit 1/177 Queen St, Warragul VIC 3820, Australia","+61 3 5623 1944"
"Lock & Load guns and Ammo",-31.992984,115.9244326,,,,"The Grange Business Centre 8, 15 Tomlinson Rd, Welshpool WA 6106, Australia","+61 8 9361 4114"
"Pickles Fishing & Outdoors",-37.066139,149.9065884,,,,"203 Imlay St, Eden NSW 2551, Australia","+61 409 156 747","https://picklesfishing.com/"
"The Barn",-27.442995,151.7194899,,,,"5 Campbell St, Oakey QLD 4401, Australia","+61 7 4691 1620","https://www.thebarn.net.au/"
"Shooters Shed",-31.7877908,115.8264882,,,,"3/73 Buckingham Dr, Wangara WA 6065, Australia","+61 8 9309 5055","https://www.shootersshed.com.au/"
"Xhunter Australia",-37.9979295,145.1197262,,,,"303 Boundary Rd, Mordialloc VIC 3195, Australia","","https://www.xhunter.com.au/"
"Trellys Hunting and Fishing",-36.3840492,145.4030825,,,,"Shepparton VIC 3630, Australia"
"The Open Range",-27.5659918,151.9523375,,,,"579 Ruthven St, Toowoomba City QLD 4350, Australia","+61 7 4632 8258","https://www.theopenrange.com.au/"
"Smiths Outdoors",-36.7518091,144.2944643,,,,"141 Charleston Rd, East Bendigo VIC 3550, Australia","+61 3 5443 3444","https://www.smithsoutdoors.com.au/"
"Quinn's sports power",-37.7438207,142.0234361,,,,"92 Gray St, Hamilton VIC 3300, Australia","+61 3 5572 1642","https://www.sportspower.com.au/pages/sportspower-hamilton"
"NVT",-32.0589738,115.8023718,,,,"11/25 Rawlinson St, O'Connor WA 6163, Australia"
"Mackay Shooters Supplies",-21.187601,149.1516214,,,,"Unit 7,Terminus Business Park, 20-34 Caterpillar Dr, Paget QLD 4740, Australia","+61 7 4998 5795"
"Horsley Park Gun Shop",-33.841572,150.846594,,,,"1848 The Horsley Dr, Horsley Park NSW 2175, Australia","+61 2 9620 1313","https://www.horsleyparkgunshop.com.au/"
"Holts Gun Shop",-38.338098,143.577266,,,,"329 Murray St, Colac VIC 3250, Australia","+61 3 5232 2784","https://www.holtsgunshop.com.au/"
"Gunsmoke Bathurst",-33.4139384,149.5810409,,,,"84 Durham St, Bathurst NSW 2795, Australia","+61 2 6334 3462","https://gunsmokebathurst.com.au/"
"Epping Firearms",-37.6498303,145.0109833,,,,"220 Cooper St, Epping VIC 3076, Australia","+61 3 9401 3308","https://www.eppingffo.com.au/"
"DOWNRANGE PERTH FIREARMS",-31.865365,115.807129,,,,"Unit 3/52 Erindale Rd, Balcatta WA 6021, Australia","+61 8 6364 0375","https://downrange.com.au/"
"Cowboy Guns and Gear",-33.8343432,148.6897546,,,,"54-56 Kendal St, Cowra NSW 2794, Australia","+61 2 6342 1965","https://cowboygunsandgear.com.au/"
"Bullets & Bits",-33.2858385,149.1025186,,,,"139 Kite St, Orange NSW 2800, Australia","+61 2 6360 4884"
"Bridge Hunting Supplies",-35.1204971,139.2720894,,,,"Shop 3/17/19 Adelaide Rd, Murray Bridge SA 5253, Australia","+61 439 837 306"
"BinoCentral",-31.7488479,115.7611674,,,,"43 Winton Rd, Joondalup WA 6027, Australia","+61 8 6108 4239","https://binocentral.com.au/"
"Arms & Ammo",-32.809498,151.639683,,,,"5/3 Arunga Dr, Beresfield NSW 2322, Australia","+61 2 4966 0047","https://armsandammo.com.au/"
"Abela's Gunshop",-34.0594998,150.817598,,,,"13 Watsford Rd, Campbelltown NSW 2560, Australia","+61 2 4626 3222","https://www.abelasgunshop.com.au/"
"J & A Shooting Supplies",-36.7366943,142.2060957,,,,"27 Hamilton Rd, Horsham VIC 3400, Australia","+61 3 5382 2248","https://jashooting.com.au/"
"Blackwood Shooting Supplies",-33.9420629,116.1569391,,,,"Bridgetown-Boyup Brook Rd, Bridgetown WA 6255, Australia"
"Southwest Firearms",-33.6628308,115.3457885,,,,"29 Fairlawn Rd, Busselton WA 6280, Australia","+61 8 9751 1922","https://southwestfirearms.com.au/"
"Boss Outdoor Merimbula Rentals",-36.8909101,149.9103859,,,,"5A Market St, Merimbula NSW 2548, Australia","+61 498 659 596","https://fareharbor.com/embeds/book/bossoutdoor/items/?flow=1209052&full-items=yes&back=https://bossoutdoorrentals.com.au/"
"Wild Outdoors Australia",-38.0937319,144.3706168,,,,"24 Foch St, North Shore VIC 3214, Australia","+61 3 5278 1929","https://www.wildoutdoorsaustralia.com.au/"
"Hunt The Night",-38.0853304,145.5093568,,,,"1205 Koo Wee Rup Rd, Pakenham VIC 3810, Australia","+61 1300 486 444","https://huntthenight.com.au/"
"8 Clapham St",-32.02691,115.95225,,,,"8 Clapham St, 8 Clapham St, Beckenham WA 6107, Australia"
"GFD Outdoors & Sports",-36.3076663,145.0348254,,,,"23 McCormick Rd, Kyabram VIC 3620, Australia","+61 3 5853 2205","https://www.gfdoutdoorsandsports.com.au/password"
"849 Glenferrie Rd",-37.8132788,145.0367234,,,,"849 Glenferrie Rd, Kew VIC 3101, Australia"
"Grafton Firearms and Fishing Tackle",-29.7269155,152.9401612,,,,"16/40 Hyde St, South Grafton NSW 2460, Australia","+61 2 6642 3888"
"Great Escape Camping",-27.437788,153.1660156,,,,"124 Glenora St, Wynnum QLD 4178, Australia","+61 7 3893 0726","https://www.greatescapecamping.com.au/"
"Gunco Sports",-37.7300496,144.8112847,,,,"94-96 Leslie St, St Albans VIC 3021, Australia","+61 3 9367 8367","https://www.guncosports.com.au/"
"Gunning For You",-35.5593802,138.6012894,,,,"41 Maude St, Encounter Bay SA 5211, Australia","+61 402 270 448","https://gunningforyou.net/"
"Hot Tackle Warners Bay",-32.966075,151.6466371,,,,"60 Medcalf St, Warners Bay NSW 2282, Australia","+61 2 4959 5276","https://hottackle.com.au/"
"Plaza Cameras",-31.9540222,115.8593889,,,,"Plaza Arcade, 26/650 Hay St, Perth WA 6000, Australia","+61 8 9325 4040","https://plazacameras.com.au/"
"Presto's Hunting & Shooting",-34.195856,142.1678665,,,,"17 Tenth St, Mildura VIC 3500, Australia","+61 3 5070 0131","https://prestoshuntingandshooting.com.au/"
"Pro Firearms",-31.8585967,115.9069886,,,,"12 Iron St, Malaga WA 6090, Australia","+61 405 840 200","https://www.profirearms.com.au/"
"Ray's Firearms & Archery",-35.0211687,117.8837481,,,,"298 York St, Albany WA 6330, Australia","+61 8 9841 3451"
"Safari Firearms",-33.949015,151.11412,,,,"146 Stoney Creek Rd, Bexley NSW 2207, Australia","+61 2 9740 9760","https://safarifirearms.com.au/"
"Shooter's Delight",-27.6122843,153.1166701,,,,"1/3285 Logan Rd, Underwood QLD 4119, Australia","+61 7 3841 1881","https://shootersdelight.com.au/"
"Aqua Adventures",-27.96134,153.413084,,,,"95 Marine Parade, Gold Coast Hwy, Southport QLD 4215, Australia","+61 7 5591 7117","https://aquaadventures.com.au/"
"Razorback Outdoors",-33.5803955,150.720506,,,,"1/38 Bells Line of Rd, North Richmond NSW 2754, Australia","+61 2 4571 1885","https://razorbackoutdoors.com.au/"
"The Adelaide Gun Shop Pty Ltd",-34.9304259,138.5910956,,,,"212 Gouger St, Adelaide SA 5000, Australia","+61 8 8231 3570","https://adelaidegunshop.com.au/"
"The Gun Store",-33.3646262,115.6730958,,,,"Unit 3/13 Shanahan Rd, Davenport WA 6230, Australia","+61 427 725 262","https://gun-store.com.au/"
"Voyin Arms",-31.7891076,115.8228077,,,,"1 Irwin Rd, Wangara WA 6065, Australia","",""
"2 Rivers Guns & Ammo",-29.4645234,149.8412576,,,,"159 Balo St, Moree NSW 2400, Australia","+61 2 6751 1193"
"Alpine Country Tackle World",-38.2366656,146.4339242,,,,"6 Saskia Way, Morwell VIC 3840, Australia","+61 3 5134 1380","https://alpinecountryoutdoors.com.au/"
"Rod & Rifle Tackleworld",-14.4635756,132.2651992,,,,"12 Giles St, Katherine NT 0850, Australia","+61 8 8972 1020","https://www.rodrifle.com.au/"
"4WD Industries",-32.7079418,151.5068428,,,,"391 New England Hwy, Rutherford NSW 2320, Australia","+61 2 4933 3766","https://www.4wdindustries.com.au/"
"A & W Grassi Pty Ltd",-36.4313897,146.3589552,,,,"927 Wangaratta-Whitfield Rd, Oxley VIC 3678, Australia","+61 3 5727 3794"
"Apex Hunting",-27.5340927,153.2026252,,,,"Unit 2/178 Redland Bay Rd, Capalaba QLD 4157, Australia","+61 1300 883 770","https://www.apexhunting.com.au/"
"Bass to Barra Fishing",-26.5374774,151.8358828,,,,"10/119 Youngman St, Kingaroy QLD 4610, Australia","+61 7 4162 7555","https://www.basstobarra.com.au/"
"Benson Archery Granville",-33.8299386,151.0097963,,,,"164-166 Parramatta Rd, Granville NSW 2142, Australia","+61 2 9682 3080","https://bensonarchery.com.au/"
"BG Firearms Tasmania",-42.3844686,147.0073542,,,,"16 Patrick St, Bothwell TAS 7030, Australia","+61 460 573 374"
"Brighton Hunting & Outdoors",-42.7020629,147.2461729,,,,"24 Elderslie Rd, Brighton TAS 7030, Australia","+61 3 6268 0371",""
"Bristle Up - Hunting Supplies - Uhunt",-27.8920433,149.5568,,,,"13 Garden St, Yuleba QLD 4427, Australia","+61 427 312 312","https://www.bristleup.com.au/"
"Bucked Off Western Wear",-27.1806725,151.2641517,,,,"Shop/2 33Archibald Street, Dalby QLD 4405, Australia","+61 7 4529 0318","https://www.buckedoffwesternwear.com.au/"
"Buloke Firearms",-36.3712241,142.9833086,,,,"77 Woods St, Donald VIC 3480, Australia","+61 3 5497 2281",""
"Coffs Guns and Rural Supplies",-30.3129466,153.0826036,,,,"56 Industrial Dr, North Boambee Valley NSW 2450, Australia","+61 2 6652 8231","https://coffsguns.com.au/"
"Compleat Angler Dandenong",-37.9707591,145.1978655,,,,"241-243 Princes Hwy, Dandenong VIC 3175, Australia","+61 3 9794 9397","https://www.fishingcamping.com.au/"
"Compleat Angler Cooma - Snowy Mountains",-36.2433376,149.0633064,,,,"583 Snowy Mountains Hwy, Pine Valley NSW 2630, Australia","+61 484 290 112","https://compleatangler.com.au/"
"Deni Outdoors & Camping",-35.527059,144.97293,,,,"67 Davidson St, Deniliquin NSW 2710, Australia","+61 3 5881 7107","https://denioutdoors.com/"
"DIGGER TACTICAL",-38.1433277,145.1231158,,,,"3 Stiebel Pl, Frankston VIC 3199, Australia","+61 418 266 661","https://diggertactical.com.au/"
"Extreme Gear",-24.886906,152.3208983,,,,"107 Takalvan St, Bundaberg Central QLD 4670, Australia","+61 7 4151 3033","https://www.extremegear.com.au/"
"Extreme Outdoor Sports Pty Ltd",-34.5663262,150.8094174,,,,"154 Industrial Rd, Oak Flats NSW 2529, Australia","+61 2 4256 4200","https://www.extremeoutdoorsports.com.au/"
"Fishing & Outdoor World",-12.461991,130.842788,,,,"36 Cavenagh St, Darwin City NT 0800, Australia","+61 8 8981 6398","https://www.fishingandoutdoorworld.com.au/"
"FlindersOutdoors",-33.1929825,138.0117604,,,,"54 Esmond Rd, Port Pirie South SA 5540, Australia","+61 8 8632 6770","https://www.flindersoutdoors.com/"
"Foxdog Outfitters",-34.9051111,138.5536768,,,,"3 Charles St, Allenby Gardens SA 5009, Australia","","https://foxdog.com.au/"
"Gawler Fishing & Outdoors",-34.6005899,138.7489307,,,,"44-46 Murray St, Gawler SA 5118, Australia","+61 8 8522 6200","https://www.fishnout.com.au/"
"Get Wet Outdoors",-38.193435,146.548461,,,,"83 Argyle St, Traralgon VIC 3844, Australia","+61 3 5174 3999","https://www.getwetoutdoors.com.au/"
"Global Weapons Systems",-37.6802902,144.9561309,,,,"1523 Sydney Rd, Campbellfield VIC 3061, Australia","+61 3 9357 1146","https://www.globalweapons.com.au/"
"Going Dark",-27.4510102,153.1084493,,,,"Brisbane QLD 4000, Australia"
"Good Hunt Australia Pty Ltd",-32.73838,151.5614652,,,,"mailing address, 247 High St, Maitland NSW 2320, Australia","+61 477 456 463","https://goodhuntaustralia.com.au/"
"Gun And Outdoor Shop",-37.818205,145.3150906,,,,"121 Canterbury Rd, Kilsyth VIC 3137, Australia","+61 3 9728 8536","https://gunandoutdoorshop.com.au/"
"Gun Emporium",-37.7086419,144.8630231,,,,"Unit 1/47 Assembly Dr, Tullamarine VIC 3043, Australia","+61 3 9338 9975","https://www.gunemporium.com.au/"
"H. Rehfisch & Co",-37.5718345,143.82277,,,,"903 La Trobe St, Delacombe VIC 3356, Australia","+61 3 5331 3677","https://rehfisch.com.au/"
"John Vichie Firearms",-28.6577536,151.9352265,,,,"24 Matthew St, Stanthorpe QLD 4380, Australia","+61 7 4681 4620"
"Johnson's Firearms",-26.626752,152.965817,,,,"130A Howard St, Nambour QLD 4560, Australia","+61 7 5441 1099","https://www.johnsonsfirearms.com.au/"
"Lardner Bros.",-37.2836152,142.928361,,,,"2 Ingor St, Ararat VIC 3377, Australia","+61 3 5352 1074","https://lardnerbros.com.au/"
"Lock N Load Firearm Supplies",-33.2647385,151.4476848,,,,"16/9-11 Willow Tree Rd, Wyong NSW 2259, Australia","+61 2 4351 0917","https://locknloadfirearms.com.au/"
"Mansfield Hunting and Fishing",-37.0521367,146.0912349,,,,"17 High St, Mansfield VIC 3722, Australia","+61 3 5779 1685","https://www.mansfieldhuntingandfishing.com.au/"
"Mario's Bait and Tackle",-38.164867,144.407598,,,,"11 Noel Rd, Moolap VIC 3221, Australia","+61 3 5248 5201"
"Mccallums Tackle World Nowra",-34.9129447,150.6040039,,,,"1/176 Princes Hwy, South Nowra NSW 2541, Australia","+61 2 4421 2418","https://tackleworld.com.au/"
"Menswear Direct",-23.377217,150.5129186,,,,"63 East St, Rockhampton City QLD 4700, Australia","+61 7 4921 1864"
"Mk1 Developments",-34.3238269,142.190619,,,,"3 Barndeet Ave, Red Cliffs VIC 3496, Australia","+61 427 147 475","https://www.mk1developments.com.au/"
"Monaro Arms - Canberra Gun Shop",-35.3286604,149.1764199,,,,"Molonglo Mall, Unit 6/105 Newcastle St, Fyshwick ACT 2609, Australia","+61 2 6193 9305","https://www.monaroarms.com.au/"
"Mudgee Firearms & Shooting Services",-32.5926453,149.5860539,,,,"98 Mortimer St, Mudgee NSW 2850, Australia","+61 427 224 037","https://mudgeefirearms.com.au/"
"Murtech",-30.9540903,148.3893177,,,,"42 Aberford St, Coonamble NSW 2829, Australia","","https://murtechcommunications.com.au/"
"My Mates Outdoors",-37.6897468,144.5946655,,,,"4/33 Collins Rd, Melton VIC 3337, Australia","+61 3 8798 9722","https://mymatesoutdoors.com.au/"
"Newcastle Armoury",-32.954763,151.6165755,,,,"Unit 2/78 Seventh St, Boolaroo NSW 2284, Australia","+61 2 4958 2378","https://newcastlearmoury.com.au/"
"Northern Vic Ammo Supplies",-36.1891159,145.7876291,,,,"Karobean/361 Lawrence Rd, Tungamah VIC 3728, Australia","+61 400 016 691","https://northernvicammosupplies.com.au/"
"Oakhurst Gun Works",-25.512062,152.618846,,,,"67 Woocoo Dr, Oakhurst QLD 4650, Australia","+61 7 4122 2363","https://oakhurstgunworks.com.au/"
"On Target Sporting Arms",-27.4190963,152.997836,,,,"168 S Pine Rd, Enoggera QLD 4051, Australia,"+61 7 3855 9001","https://ontargetsportingarms.com/"
"Optic Hunting Gear",-35.9170652,145.6447101,,,,"59 Broadway St, Cobram VIC 3644, Australia","+61 400 770 761","https://optichuntinggear.com.au/"
"Optics Central",-37.812929,145.202289,,,,"8/23 Cook Rd, Mitcham VIC 3132, Australia","+61 1300 884 763","https://www.opticscentral.com.au/"
"O'Reillys Firearms",-37.754392,145.0011393,,,,"869 High St, Thornbury VIC 3071, Australia","+61 3 9480 3366","https://hallsfirearms.com.au/"
"Owen Guns",-26.2181787,152.684849,,,,"24 McMahon Rd, Monkland QLD 4570, Australia","+61 7 5482 4099","https://owenguns.com/"
"Oz Hunting & Bows",-37.9335487,145.1517896,,,,"6 Blissington St, Springvale VIC 3171, Australia","+61 3 9570 9100","https://ozhuntingandbows.com.au/"
"Platinum Ag Services Virginia",-34.6550102,138.5681762,,,,"65 Gawler Rd, Virginia SA 5120, Australia","+61 8 8380 9400"
"Range and Field",-34.7114589,138.8820366,,,,"516 S Para Rd, Kersbrook SA 5231, Australia","+61 411 776 248","https://rangeandfield.com.au/"
"Retschlag Firearms",-24.4012647,150.5130885,,,,"54 Kariboe St, Biloela QLD 4715, Australia","+61 7 4992 3039","https://www.retschlagfirearms.com/"
"Riverina Firearms Centre",-34.2877533,146.041711,,,,"430 Banna Ave, Griffith NSW 2680, Australia","+61 2 6962 3864"
"Rod & Range Sports",-42.8333663,147.2783966,,,,"351 Main Rd, Glenorchy TAS 7010, Australia","+61 3 6273 4330"
"Roy Alexander & Sons",-31.9296506,115.8933357,,,,"44 Eighth Ave, Maylands WA 6051, Australia","+61 8 9272 2205","https://royalexanderandsons.com.au/"
"Scoped Out",-34.9681251,138.5736111,,,,"809-811 South Rd, Clarence Gardens SA 5039, Australia","+61 8 7325 0390","https://www.scopedout.com.au/"
"Southern Range Sports",-42.9819994,147.2934545,,,,"4/34 Mertonvale Cct, Kingston TAS 7050, Australia","+61 3 6229 8444","https://www.southernrangesports.au/"
"Spring Loaded Gun Shop Mareeba",-17.0580004,145.4394992,,,,"62 Venture Rd, Mareeba QLD 4880, Australia","+61 7 4092 5358","https://springloadedguns.com.au/"
"Suffolks Outdoor Sports",-28.8093816,153.2779214,,,,"149 Keen St, Lismore NSW 2480, Australia","+61 2 6621 3047","https://www.suffolksports.com.au/"
"Swan Hill Fishing and Shooting Supplies",-35.335187,143.558789,,,,"41 Campbell St, Swan Hill VIC 3585, Australia","+61 3 5032 4378","https://www.fishingandshooting.com.au/"
"TACKLEWORLD & OUTDOOR'S BURNIE",-41.0515623,145.9067916,,,,"37 Wilson St, Burnie TAS 7320, Australia","+61 3 6431 6500","https://tackleworld.com.au/"
"The Gun Shed",-27.9294898,153.3340189,,,,"3/3 Millennium Cct, Helensvale QLD 4212, Australia","+61 1300 730 301","https://www.thegunshedqld.com.au/"
"The Outpost - Arms & Munitions",-23.3487339,150.5225853,,,,"359 Yaamba Rd, Park Avenue QLD 4701, Australia","+61 7 4926 5544","https://theoutpostarms.com.au/"
"The Outpost - Arms & Munitions Emerald",-23.5255184,148.1586914,,,,"21 Clermont St, Emerald QLD 4720, Australia","+61 7 4987 5177","https://theoutpostarms.com.au/"
"The Outpost - Charters Towers",-20.0686482,146.2805795,,,,"Tower 5B/58 New Queen Rd, Queenton QLD 4820, Australia","+61 7 4764 5510","https://theoutpostarms.com.au/"
"Thornton Hunting & Outdoors",-32.7878168,151.6379764,,,,"3-4/13 Hartley Dr, Thornton NSW 2322, Australia","+61 2 4966 1770","https://huntingandoutdoors.com.au/"
"Townsville Gun Shop",-19.271515,146.7674147,,,,"Unit 1/54 Pilkington St, Garbutt QLD 4814, Australia","+61 7 4728 5600","https://townsvillegunshop.com.au/"
"Trailblazers",-35.014575,117.8751069,,,,"184 Albany Hwy, Albany WA 6330, Australia","+61 8 9841 7859","https://trailblazers.com.au/"
"Trelly's Outdoor Bendigo",-36.7409626,144.2590331,,,,"214-216 Eaglehawk Rd, Long Gully VIC 3550, Australia","+61 3 5443 8266","https://www.trellys.com.au/"
"Trelly's Outdoor",-36.3840945,145.4031766,,,,"209 Corio St, Shepparton VIC 3630, Australia","+61 3 5821 6572","https://www.trellys.com.au/"
"Venture Hunting & Outdoors",-37.7434943,142.0242931,,,,"136 Gray St, Hamilton VIC 3300, Australia","+61 3 5572 2736","https://venturehunting.com.au/"
"Warwick Outdoors & Sports",-28.2164509,152.0322622,,,,"115 Palmerin St, Warwick QLD 4370, Australia","+61 7 4661 3533","https://www.warwickoutdoor.com.au/"
"Webb's Hunting and Fishing",-41.5965401,147.1213156,,,,"18a Marlborough St, Longford TAS 7301, Australia","+61 3 6371 2175"
"Western Advance",-31.8600332,115.9076701,,,,"130 Mulgul Rd, Malaga WA 6090, Australia","+61 8 9240 4622","https://www.westernadvance.com/"
"Williams Outdoors - New Norfolk Gun Shop",-42.781084,147.063376,,,,"41 High St, New Norfolk TAS 7140, Australia","+61 3 6261 3444","https://williamsoutdoors.com.au/"
"Young Guns and Ammunition",-34.3133819,148.2984998,,,,"79-81 Boorowa St, Young NSW 2594, Australia","+61 2 6382 3309",""
"Roma Outdoors & Sports",-26.5717771,148.7916884,,,,"47 McDowall St, Roma QLD 4455, Australia","+61 7 4622 5555"
"Scouller Saddlery",-26.7471463,150.6404265,,,,"76 Warrego Hwy, Chinchilla QLD 4413, Australia","+61 7 4662 8416","https://scoullersaddlery.net.au/"
"Camera House - Midland",-31.891963,116.016048,,,,"210 Great Eastern Hwy, Midland WA 6056, Australia","+61 8 9250 1635","https://www.camerahouse.com.au/store/midland?subdomain=midland.camerahouse.com.au"
"Hunting and Shooting Supplies Whitsunday",-20.4013791,148.5818378,,,,"27 Main St, Proserpine QLD 4800, Australia","+61 7 4945 3040","https://www.huntshootwhitsunday.com.au/"
"YP AG",-35.0191509,137.6027828,,,,"33 Warooka Rd, Yorketown SA 5576, Australia","+61 8 8852 1636","https://www.ypag.com.au/"
"Esperance Rural Supplies",-33.8367375,121.8989568,,,,"57 Norseman Rd, Esperance WA 6450, Australia","+61 8 9071 9700","https://elders.com.au/our-services/our-branches/wa/esperance-rural-supplies/"
"South West Shooting Supplies",-34.4317697,148.7341179,,,,"2/6 Corcoran Ct, Boorowa NSW 2586, Australia","+61 2 6385 3695"
"Steelos Outdoors",-32.9438714,117.1802654,,,,"175 Federal St, Narrogin WA 6312, Australia","+61 8 9881 2455","https://steelosoutdoors.com.au/"
"The Lure Shop",-15.4646816,145.2503051,,,,"146 Charlotte St, Cooktown QLD 4895, Australia","+61 7 4069 5396","https://www.thelureshop.net.au/"
"Gundy Guns and Outdoor Supplies",-28.5325223,150.3210344,,,,"39 Old Cunningham Hwy, Goondiwindi QLD 4390, Australia","+61 7 4671 2399",""
"The Riverina Co-op",-35.10683,147.34739,,,,"37-39 Moorong St, Wagga Wagga NSW 2650, Australia","+61 2 6937 9200","https://riverinacoop.com.au/"
"Braidwood Outdoors",-35.4453426,149.7989444,,,,"72 Wallace St, Braidwood NSW 2622, Australia","+61 2 4842 2775"
"Sunshine Coast Gun Shop",-26.6587474,153.0961064,,,,"94 Aerodrome Rd, Maroochydore QLD 4558, Australia","+61 7 5479 0303","https://scgunshop.com.au/"
"Coastal Marine and Outdoors",-17.5239346,146.0221496,,,,"178 Edith St, Innisfail QLD 4860, Australia","+61 7 4061 8272","https://www.coastalmarine.net.au/"
"Warrnambool Diving & Firearms",-38.378905,142.480686,,,,"179A Fairy St, Warrnambool VIC 3280, Australia","+61 3 5562 1685","https://divingandfirearms.com.au/"
"G&A Tactical",-28.0934118,153.4430876,,,,"15/99 W Burleigh Rd, Burleigh Waters QLD 4220, Australia","+61 7 5535 8927","https://gatactical.com.au/"
"Ozzie Outdoors",-20.729184,139.4943503,,,,"15 Isa St, Mornington QLD 4825, Australia","+61 7 4743 5558","https://ozzieoutdoors.au/"
"Harvest Hub",-27.2115653,151.2562348,,,,"6 Sandalwood Ave W, Dalby QLD 4405, Australia"
"Gunforce",-34.9075805,138.5726319,,,,"28 Orsmond St, Hindmarsh SA 5007, Australia","+61 1800 512 486","https://gunforce.com.au/"
"Benalla Guns + Ammo",-36.5561766,145.9687274,,,,"63 Bridge St W, Benalla VIC 3672, Australia"
"Bowhunting Only",-32.7901412,151.6331464,,,,"2/14 Waterloo Ave, Thornton NSW 2322, Australia","+61 437 792 878","https://bowhuntingonly.com/"
"Gun World Australia",-27.6615858,153.0332875,,,,"2/18 Elliott Ct, Hillcrest QLD 4118, Australia","+61 7 3478 1000","https://gunworld.com.au/"
"Longreach Outdoors Centre",-23.4454353,144.2458615,,,,"153 Eagle St, Longreach QLD 4730, Australia","+61 477 553 360",""
"Gambier Shooting Supplies",-37.8202488,140.7542109,,,,"323 Commercial St W, Mount Gambier SA 5290, Australia","+61 8 8725 4546"
"Nutrien West Coast Ag",-32.8006373,134.2215718,,,,"6 Redding Rd, Streaky Bay SA 5680, Australia","+61 8 8626 1409"
